stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,24.52,0,4.09,0,0,0,0
72hpf,2.14,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.64,0.32,0.64,0.64,0,0.64,0.64,0,0.32,0,0.32,26.88,0.32,7.68
