stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,126.68,102.16,0,130.76,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,89.9,269.7,0,0,24.52,241.1,2815.53,0,0,24.52,0,0,0,0,0,0,57.21,0,0,0
72hpf,1.07,1.07,0,5.35,1.07,3.21,0,0,0,0,0,0,0,0,0,0,1.07,6.42,1.07,32.09,0,0,0,10.7,27.81,0,0,50.28,2.14,0,2.14,0,0,0,0,0,0,0
21Day,14.72,1.34,0,13.39,2.68,4.02,0,2.68,0,0,0,0,0,0,10.71,1.34,1.34,2.68,2.68,111.1,0,8.03,0,8.03,5.35,0,29.45,32.12,5.35,0,45.51,1.34,1.34,1.34,1.34,0,0,4.02
3Month,0,2.56,0.64,16.64,0,0,0.32,0,0.64,1.28,2.88,0,15.68,7.68,1.28,5.76,0.96,4.8,16.64,11.52,1.6,0.96,1.28,0.96,0.64,0.32,16.32,0,4.16,0.32,544.23,0.64,0.32,0,0,2.56,120.62,4.48
22Month,0,0,0.55,1.64,0,0,0,0,0,0,0,0.55,3.83,1.09,6.56,1.09,0,0,2.73,3.28,0,0,0,0,0,1.09,32.25,0,0,0,73.25,0,0,0,0,0,0,2.73
