stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,8.17,0,0,0,0,0
72hpf,3.21,5.35,1.07,1.07,0,0,0,2.14,0,21.4,0,0,77.02,5.35,20.33,0,1.07,0,0
21Day,4.02,5.35,1.34,2.68,0,0,0,4.02,0,36.14,0,4.02,57.56,4.02,14.72,2.68,0,1.34,1.34
3Month,0,0.32,0,0,0,0.32,0,0.32,0.32,0.64,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0,0,8.2,0.55,0.55,1.09,0.55,2.73,0.55,0,0,0,0,0,0,0,0
