stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,5.35,1.07,3.21,0,0,0,0,0,0,0,1.07,1.07,1.07,0,278.15,24.61,1.07,1.07,2.14,0,0,13.91,0,0,0,0
21Day,1.34,0,9.37,0,1.34,0,0,0,0,1.34,0,1.34,6.69,0,16.06,0,123.15,32.12,0,1.34,2.68,4.02,0,9.37,2.68,0,0,0
3Month,0,0.64,9.92,0,0,6.08,0,3.2,0,0,0.32,0,0.32,0.64,2.24,0.64,0.96,0,0,2.88,0,0.32,3.2,0.64,0,0.96,0.32,0.32
22Month,0,1.09,3.28,0,0,3.83,7.65,9.29,0.55,0,1.09,0,0,0.55,1.09,0,1.09,0,0,3.28,1.09,0,1.64,1.09,0,0,0,0
