stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,0,0,0,4.09,0,4.09,8.17,0,0
72hpf,0,0,0,0,1.07,0,0,3.21,1.07,1.07,0
21Day,0,1.34,0,0,0,1.34,2.68,0,0,0,0
3Month,0.32,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0,1.09,0.55,0,0,0,0,0,0,0
