stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,32.69,32.69,0,130.76,4.09,0,0,0,0,0,12.26,0,0,0,0,0,4.09,61.3,138.94,0,0,0,0,40.86,486.28,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,16.05,6.42,0,58.84,4.28,6.42,0,0,0,0,0,0,0,2.14,0,5.35,27.81,1.07,146.56,0,1.07,1.07,1.07,162.61,131.58,0,2.14,97.35,1.07,0,0,35.3,2.14,1.07,1.07,0,0
21Day,37.48,1.34,0,112.44,1.34,5.35,1.34,2.68,0,0,0,0,0,9.37,0,5.35,20.08,8.03,108.42,0,0,10.71,0,38.82,13.39,4.02,1.34,61.57,1.34,0,0,5.35,1.34,6.69,0,2.68,2.68
3Month,0.32,0.32,0.64,4.16,0,0,0,0.32,0.32,0,0,0.96,2.24,0,0.32,0,0,0.96,2.24,0.64,0,0,0,0.32,0,0,0,0,0,0.32,0.32,0,0,0,0,0.96,0.32
22Month,0,1.09,0.55,0.55,0,0,0,0,3.83,1.09,0,3.83,1.09,0.55,0.55,0,0,0.55,2.73,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
