stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,65.38,0,0,0,8.17,347.34,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,5.35,6.42,12.84,7.49,0,1.07,0,0,0,0,0,0,1.07,0,3.21,9.63,0,200.05,0,0,5.35,387.26,243.91,0,1.07,132.65,0,0,58.84,1.07,3.21,2.14,0,0,0
21Day,12.05,2.68,10.71,2.68,6.69,0,0,0,1.34,0,0,1.34,0,1.34,0,0,2.68,0,144.56,0,0,36.14,107.08,113.78,0,5.35,20.08,5.35,0,6.69,0,4.02,38.82,1.34,0,0
3Month,0,1.6,3.84,0,0,0,0,0.64,0.32,1.6,0,0.96,0.64,0.32,0,0,1.6,0.96,24.96,6.4,0,1.92,1.6,1.92,0.32,1.92,10.88,0,0,0.64,0,0,0.64,0.32,0.64,0.64
22Month,0,0.55,2.73,0,0,0.55,0,0.55,0,1.09,2.19,4.92,0,0,1.09,0,0.55,0.55,25.15,1.09,0.55,0.55,1.64,0,1.09,6.56,5.47,0,0.55,1.09,0,0,0.55,0,0,0
