stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,16.05,0
21Day,1.34,0,0,0,0
22Month,0,4.92,0.55,0,0.55
