stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,5.35,0,0,0,0,1.07,1.07,0,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,12.05,0,0,0,1.34,0,2.68,18.74,1.34,0,0
3Month,0,0,4.16,0.32,0,0.64,1.92,0,0.64,0.32,0.64,0.96,0.64,0.96,0,0.32,0.32,0.32,0.64,0.32,0,0.32,8.96,0,0,0.32,2.56,0.32
22Month,0,2.19,0.55,0,0.55,0.55,10.39,0.55,15.31,0,0.55,0.55,0,1.09,1.64,0,0,0,0,0.55,0.55,0.55,22.96,0,0,0,0,0
