stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,32.69,0,0,0,0,0,0,0,0,0,0,24.52,4.09,20.43,0,0,0,0,371.86,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,1.07,0,0,0,0,0,0,0,0,3.21,10.7,1.07,5.35,0,1.07,0,0,104.84,3.21,0,1.07,8.56,0,0,2.14,0,0,4.28,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,2.68,0,1.34,0,0,4.02,0,1.34,0,0,2.68,0,36.14,0,0,0,0,0,2.68,0,0,4.02,0,0,0,0
3Month,0,0.64,20.8,0,0.32,0.32,0.64,2.88,11.2,2.24,0.32,4.8,2.24,13.44,2.56,31.99,4.48,0.32,1.6,1.6,17.28,0,2.56,20.8,0,2.56,230.36,0,0,0,0,2.24,165.73,2.24
22Month,0,0.55,2.19,0,0.55,0,0,1.09,18.59,0.55,0.55,2.73,0,2.19,0.55,33.35,1.64,0.55,0,0,12.57,0,1.64,41.55,0.55,0,30.07,0,0.55,0,0,0,0,2.19
