stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,3.21,10.7,0,0,0,125.17,43.86,0,1.07,3.21,0,0,1.07,1.07,0,1.07,0,0
21Day,1.34,0,0,6.69,0,2.68,2.68,0,0,0,0,0,2.68,0,0,10.71,0,6.69,0,0,0,20.08,2.68,0,0,1.34,0,0,1.34,0,1.34,0,0,0
3Month,0,0.96,0.32,8.64,0,0,0.32,1.6,4.48,0,10.24,2.24,0.64,3.84,0.64,1.92,2.88,2.56,0.96,2.24,0.32,0.64,0,0.96,0,0,0.64,1.6,0,0,0,0,0.64,1.6
22Month,0,4.37,1.09,4.37,0,0,0,1.64,7.65,2.73,52.48,2.19,0.55,4.92,0,1.09,4.92,2.19,1.09,0,0,0,0,0.55,2.73,0,0.55,1.64,1.64,0,0,0,0.55,0.55
