stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.64,0,4.48,0,0.64,0.64,0,18.88,1.92,0,6.72,0.32,0.64,0.96,0.64,0,0.32,0.32,0.96,0,1.28,52.47,0,0.32,1.28,0.96
22Month,0.55,0.55,2.19,0.55,0.55,0.55,0.55,156.89,0,1.09,5.47,0,0,2.19,1.64,2.73,0.55,0,1.09,0.55,0.55,4.92,0.55,0,0.55,0.55
