stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,3.21,1.07,2.14,0,0,0,370.15,16.05,0,0,3.21,0,0,2.14,193.63,171.17,0,0,0
21Day,4.02,0,12.05,5.35,1.34,0,0,0,0,0,0,2.68,1.34,10.71,0,1.34,0,116.45,6.69,0,0,4.02,4.02,1.34,0,244.95,642.5,2.68,0,1.34
3Month,0,0,1.92,0,0,0.32,0,2.88,0,0,0.64,0.32,0,0,0,0.32,0.32,1.6,0,0,0,0,0,0.64,0,2.56,0.32,0.64,0.32,0.64
22Month,0,0.55,1.64,0,0,3.28,0.55,15.85,0.55,0.55,3.28,1.09,1.64,2.73,1.09,0.55,0,1.09,1.09,0.55,0.55,0.55,0,4.37,0,77.62,0,1.64,0,1.64
