stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,3.21,0,0,23.54,11.77,0,0,1.07,0,6.42,5.35,1.07,2.14,0,0,0,2.14,0,1.07,0,0,0
21Day,2.68,0,13.39,2.68,0,1.34,0,4.02,0,0,1.34,22.76,0,4.02,21.42,45.51,1.34,0,0,0,1.34,2.68,0,2.68,2.68,0,0,0,2.68,1.34,0,0,4.02
3Month,1.6,1.92,21.76,0,0.32,1.28,7.36,18.56,0,13.76,47.35,3.52,24.32,2.88,1.92,53.75,1.92,0,4.16,0.64,0.64,0.32,0.96,0,1.6,0.32,16.96,0.32,0,0.96,0.32,5.44,13.76
22Month,3.28,7.11,16.4,0,0.55,0.55,4.92,94.02,2.19,29.52,22.96,7.65,41.55,1.64,0.55,65.6,1.64,1.64,0.55,0,0,0,0.55,0,0,0,19.68,0,0,0,0,0,10.93
