stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,36.78,8.17,16.35,0,0,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,25.67,1.07,1.07,0,0,0,0,0,0,1.07,26.74,0,6.42,0,0,0,0,10.7,9.63,0,0,10.7,0,0,4.28,0,0,0,0
21Day,1.34,1.34,0,105.74,5.35,6.69,0,0,0,0,0,0,0,81.65,4.02,12.05,0,0,1.34,0,14.72,4.02,1.34,4.02,6.69,0,0,2.68,1.34,0,0,0
3Month,0,5.12,0.64,79.35,0.64,0,0.32,1.28,0,15.36,1.92,2.56,0.32,9.6,2.24,8.64,1.6,0,1.6,0.64,1.28,0.32,0.64,0.96,0.64,0.64,1.92,0.32,0,38.71,0.64,0.96
22Month,0,5.47,0.55,21.87,0,0,0.55,3.28,2.73,171.65,1.09,1.64,0,3.83,0.55,2.73,0,4.92,0,0,0.55,0,1.64,3.83,1.64,0.55,1.09,0.55,0.55,6.01,0,0
