stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.76,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,20.33,68.47,0,2.14,0,0,21.4,1.07,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,12.05,42.83,0,1.34,1.34,0,8.03,0,0,0,0
3Month,0,0.96,0.32,1.28,0,0.32,0.32,0.96,0.64,1.6,1.28,0.32,0.32,0.64,0.64,0.64,0,0.32,0,0.64,0.32,0.32,0,2.24,0,0,0,0.64,0.96
22Month,0,0,0,1.09,0,0,0,2.73,3.83,0,1.64,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0.55
