stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,44.95,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,20.33,4.28,17.12,5.35,17.12,0,1.07,0,1.07,1.07,0,0,0,3.21,32.09,1.07,13.91,0,0,2735.46,112.33,2.14,2.14,24.61,0,0,7.49,1.07,0,4.28,0,0,0
21Day,9.37,0,24.09,0,16.06,0,0,0,0,1.34,1.34,4.02,0,0,9.37,5.35,6.69,0,1.34,706.75,29.45,0,1.34,8.03,17.4,0,2.68,6.69,2.68,2.68,0,0,1.34
3Month,0,0,32.95,0.32,0,0.32,0.32,0.96,1.28,3.2,0.96,0,2.56,0.64,2.56,1.92,2.88,0.32,0,30.72,2.56,1.92,0,0,1.6,8,0,0,0,0.32,0.96,0.64,0.96
22Month,0,0,7.11,0,0,0.55,0,0.55,1.09,16.4,0.55,0,1.09,0,0.55,0,1.09,0,0,18.59,1.09,0,8.75,0,0,19.68,0,0,0,0,0,0,0
