stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,24.52,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,0,22.76,0,1.34,6.69,0,2.68,0,0,0,0,1.34,1.34,1.34,1.34,0,0,0,0,1.34
3Month,0,0.64,0.64,10.88,0,0,0.32,0.64,54.71,0.64,14.4,1.92,0.32,0.64,0.64,0,0,0.64,0.64,0.32,0,1.28,8,0,0.96,3.2,1.28
22Month,0,0,0,1.09,0,0,0,1.09,13.12,0.55,16.95,0,0,0,0,0,0.55,0,0,0,0,0,1.64,0.55,0,0,0
