stage,Epithelial_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,12.26,73.56,32.69,4.09
72hpf,0,1.07,1.07,0,0,0
21Day,1.34,0,2.68,0,1.34,1.34
