stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,3.21,0,0,0
21Day,0,4.02,0,0,0,1.34,1.34,2.68,0,0
3Month,0,0.32,0.96,1.28,0.96,0,0,0,0.32,0.32
22Month,0,0,1.09,1.09,0,0.55,0,0,0,0
