stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,0,4.28,8.56,0,0,0,0,0,0,0,0,0,4.28,10.7,1.07,7.49,0,0,0,1019.51,22.47,0,1.07,8.56,0,0,4.28,2.14,2.14,2.14,0,0,0
21Day,9.37,1.34,0,16.06,16.06,0,2.68,0,0,0,2.68,0,4.02,4.02,1.34,4.02,4.02,12.05,0,1.34,0,690.68,14.72,2.68,9.37,5.35,22.76,1.34,4.02,2.68,5.35,0,0,0,1.34
3Month,0,0,0.32,2.56,0,0.32,0,0,0.32,0,6.72,0.64,0,2.56,0.32,1.6,0.96,0.64,0,0,0.64,1.28,0,0,0,0,0.32,4.48,0.32,0,0,0,0.32,1.28,1.6
22Month,0,0.55,0.55,0.55,0,0,1.09,1.09,2.19,6.01,24.05,2.19,0,3.83,0,0,1.64,4.37,2.73,1.64,0,1.09,0.55,0.55,1.09,0,1.09,2.19,0,0,0,0,0,0,0
