stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,77.64,8.17,0,0,0,8.17,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,1.07,16.05,3.21,0,0,34.23,2.14,0,0,0,16.05,0,0
21Day,0,0,0,0,2.68,0,0,0,0,0,6.69,0,1.34,4.02,36.14,4.02,0,1.34,13.39,0,1.34,1.34,1.34,4.02,0,1.34
3Month,0,0,1.6,0,0,0,0,0,1.28,4.48,0,0.96,0,0.96,44.47,0.32,0,0.32,0,0,0,7.36,0,0.32,2.56,0
22Month,0.55,0.55,1.09,0,0,0.55,0.55,3.83,15.31,3.83,0.55,1.64,0,0,47.56,1.64,0.55,0,1.09,0,0,7.11,0,0.55,0,0.55
