stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,2.14,0,0,0,0,0,0,0,3.21,175.45,0,0,1.07,6.42,2.14,1.07,0,3.21,1.07,0,0
21Day,0,0,37.48,0,0,0,0,0,0,0,2.68,8.03,68.27,1.34,1.34,0,1.34,0,0,0,0,1.34,0,1.34
3Month,0.64,1.28,109.1,0,0.32,0.64,0.96,0,2.24,1.6,1.6,15.68,8,4.16,1.92,0.32,4.48,0.32,0.32,0.64,0,0,0.32,1.28
22Month,0,0,10.93,0,0,0,1.09,0,6.56,0,0.55,0.55,1.09,1.64,0,0,3.28,0,0,0,0,0.55,0,0
