stage,Granulocyte,Granulosa_cell,Hatching_gland,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,3.21,0,2.14,3.21,0,0
21Day,1.34,0,0,0,0,0,4.02,2.68,0,6.69,13.39,0,1.34
3Month,0.32,0,0,0.64,0.32,0.32,0,0,0,0,0,0.64,0
22Month,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0
