stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,1.07,9.63,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,5.35,0,0,1.34,0,0
3Month,0.32,0,2.56,0.64,0.64,0,0,0.32,0.32,0,0.32,0.32
