stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,1.07,0,0,0,1.07,1.07,0,0,1.07,0,0,1.07,0
21Day,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.24,0,1.6,0,0,0.64,0.32,0.64,0,0.32,0.32,0,0.64
22Month,0,0,0.55,5.47,0.55,0,0,0,0.55,0,0.55,0,0,0
