stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,10.7,1.07,0,0,0,0,0,0
21Day,0,1.34,2.68,0,0,0,0,1.34,0,0,0,1.34,0,2.68,1.34,0,40.16,1.34,0,0,2.68,0,0,0
3Month,0,0,1.92,0.64,0,0.96,0.96,0.96,0.96,0,0.64,0,1.6,0.64,0.32,0,0,0,0.32,0.32,18.88,0.32,1.28,0.32
22Month,0,0,0.55,0,0,0.55,1.09,3.83,0,0.55,0,0,0,0.55,0,0.55,0,0,0.55,0.55,22.41,0,0,0.55
