stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,32.69,4.09,0,0,0,0,0,65.38,0,0,0,0,0,0,0,28.6,0,0,0,629.31,77.64,0,0,4.09,0,0,0,0,0,24.52,0,0,0
72hpf,23.54,3.21,0,9.63,4.28,18.19,0,0,0,0,0,0,0,0,0,8.56,29.95,3.21,10.7,0,3.21,0,2336.42,60.98,4.28,14.98,34.23,0,0,16.05,3.21,2.14,144.42,0,0,0
21Day,6.69,0,0,12.05,1.34,9.37,0,5.35,0,1.34,0,5.35,0,0,1.34,0,6.69,5.35,18.74,0,0,1.34,706.75,24.09,6.69,5.35,5.35,16.06,0,10.71,0,8.03,29.45,0,0,2.68
3Month,0,0.32,0,3.52,0.96,0,0.32,0,0.32,1.28,0,4.16,0.64,0.32,1.6,1.28,0.64,15.04,4.16,1.92,0,0.32,18.56,0,15.36,9.92,2.24,0,21.12,1.28,0,0,8.96,0.32,3.52,1.28
22Month,0,0.55,0.55,0.55,0.55,0,0.55,0,0.55,7.11,0,24.05,1.09,0,1.64,0,0.55,6.01,15.85,1.09,0.55,0,34.44,1.09,20.23,30.61,12.57,0,93.48,12.57,0.55,0,0,0,0,0.55
