stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Macrophage,Neural_progenitor_cell,Spermatocyte
24hpf,0,4.09,0,4.09,4.09,0
72hpf,1.07,0,0,0,0,0
21Day,0,0,2.68,1.34,0,0
3Month,0,0,0,0,0,0.64
