stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,12.26,0,0,0,0,208.41,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,4.28,4.28,0,3.21,2.14,0,0,7.49,22.47,0,1.07,0,0,1.07,1.07,0,0,0
21Day,4.02,0,0,2.68,2.68,0,4.02,0,0,0,0,0,6.69,1.34,0,5.35,2.68,2.68,0,0,0,9.37,10.71,0,5.35,1.34,0,1.34,0,0,0,2.68
3Month,0,0,0,5.12,0,0.64,0.32,0.64,1.28,0,5.76,0.32,0.64,3.2,0.32,1.6,1.92,1.28,0,0.96,1.28,0.64,0,0,0,0.64,16,0,0,0.64,0.64,2.24
22Month,0,0.55,0.55,0.55,0,0,0,0,0,0.55,6.01,0.55,0,0.55,0,0,1.09,0,1.09,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0
