stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,1.07,0,5.35,4.28,0,3.21,1.07
21Day,1.34,1.34,1.34,1.34,12.05,1.34,0,2.68,0
