stage,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0
72hpf,0,4.28,0,10.7,1.07,1.07,2.14,0,0
21Day,0,0,1.34,0,0,0,1.34,5.35,0
3Month,0,0,0,0,0,0,0,0,0.64
22Month,2.19,0,0,0,0,0,0,3.83,0
