stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell
72hpf,1.07,0,0,0,0,0,1.07,1.07,0,1.07,0,0,4.28,1.07,0,0,1.07
21Day,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,1.34,0
3Month,0.96,0.32,0,0.32,0.64,1.92,0.32,0,0,0.32,0,0.32,0,0.32,0.32,0,0
22Month,0,0,1.09,6.01,1.09,4.37,0,0,0.55,0,0.55,0,0,0,0,0,2.19
