stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,1.07,0,0,2.14,0,95.21,6.42,0,1.07,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,2.68,0,0,0,0,0,0,0,1.34,0,4.02,0,52.2,0,0,0,1.34,0,0,1.34,1.34,0,0
3Month,0,0.64,0.32,2.88,0,0.96,0.32,11.84,0.96,0,2.88,0.32,0.64,0,0.32,0.96,0.96,0,0.96,0.32,0.64,2.56,0,0,0,1.6,0.64
22Month,0,0,0,0,0,0,0,1.09,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0,0
