stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,0,6.69,0,0,0,2.68,0,0
3Month,0.32,0.96,0,0.32,0.32,0,0.96,0.32,0,0.32,0.64,0,4.8,0.96,0,0.32,0,0.32,0.32
22Month,0,0.55,0,0,0,0.55,9.29,1.09,0.55,0,0,0.55,6.56,0,1.09,0,0,0,0
