stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,0,8.17,0
72hpf,0,0,0,0,0,1.07,1.07,1.07
21Day,2.68,0,0,0,0,0,0,0
22Month,0,0.55,2.73,0.55,0.55,0,0,0
