stage,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,0,0,74.89,2.14,0,1.07,0,0,0,0,3.21,1.07,53.49,0
21Day,0,0,0,0,0,2.68,2.68,0,0,4.02,2.68,0,0,0,1.34,1.34,0,0,0,26.77,0
3Month,0,0,0,0,0,0,0.64,0,0,0,0,0.32,0,0,0,0,0.64,0.32,0,0.32,0.32
22Month,0.55,1.09,0,4.37,1.09,0.55,0,0.55,0.55,0,0,0.55,0,9.29,0,0,4.37,1.09,0,0,0
