stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,2.14,0,0,0,0,0,0,1.07,0,3.21,3.21,2.14,0,0,289.91,14.98,0,0,0,0,3.21,135.86,53.49,0,0,0
21Day,2.68,0,0,5.35,1.34,4.02,0,0,1.34,0,0,0,0,1.34,4.02,4.02,1.34,2.68,0,18.74,1.34,0,2.68,2.68,2.68,0,168.66,115.11,0,0,1.34
3Month,0,0,0.32,1.92,0,0,0,0.32,1.92,3.2,0.64,0,0,0.96,0.32,36.15,0.64,0.64,0.32,0.96,0,0.32,0,0.32,56.95,0,1.92,0.32,0.64,47.67,0.64
22Month,0,0.55,0,1.64,0,0,0.55,0,4.92,7.11,0,1.64,1.09,0,0,43.19,1.09,0,0,1.09,0,0,0,0,1.64,0,186.96,0,0,0,0.55
