stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,57.77,2.14,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,1.34,41.49,0,0,1.34,1.34,1.34,2.68,2.68,1.34
3Month,0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0.64,0,0,0
22Month,0,0.55,0,0,1.09,0,0.55,0,0,0.55,0,0,1.09,0,0,0.55
