stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,4.28,1.07,0,0,0,0,0,0,0,1.07,0,2.14,2.14,0,0,0
21Day,14.72,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0,0,0,0.32,0.32,0.64,0.96,0.32,0.64,0,0,0.32,0,0,0.32,0
22Month,0,0.55,0.55,1.64,1.09,2.73,0,0.55,1.64,0,1.64,0.55,0,0,0,0.55
