stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Nephron_cell
72hpf,0,0,0,0,0,0,2.14,0
21Day,1.34,1.34,0,0,0,0,0,0
3Month,1.28,0,0.64,0.32,0.32,1.28,0.32,0.32
