stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,16.35,0,16.35,0,0,0,0,53.12,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,7.49,2.14,0,0,0,0,0,0,0,14.98,0,5.35,0,0,0,38.51,7.49,1.07,4.28,0,0,2.14,0,1.07,0,0
21Day,0,24.09,1.34,0,0,0,0,0,0,0,16.06,10.71,22.76,0,4.02,0,8.03,6.69,0,2.68,1.34,0,0,2.68,0,0,2.68
3Month,0.64,4.48,0,0.64,0.32,0.32,0.96,0.32,0.32,0.32,1.92,0.32,0.96,0.32,0.32,0.32,0.64,0,0.32,0,0,0.32,0,0,0,1.28,0.64
22Month,0,2.73,0,0,0,0,8.2,0,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
