stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,9.63,0,0,0,0,0,0,0,0,0,31.02,0,16.05,0,5.35,4.28,0,3.21,0,0,1.07,0
21Day,4.02,1.34,10.71,5.35,5.35,0,0,1.34,0,1.34,0,1.34,4.02,1.34,22.76,1.34,10.71,1.34,0,13.39,1.34,0,1.34,0
3Month,0,0,1.6,0,0,0.32,0.32,1.6,0.32,0,0.32,0.32,0.96,0.64,0.96,0,0,0,0.32,0.64,0,0.32,0,0.64
22Month,0,0.55,1.09,0,0,0,2.73,16.95,2.19,0,2.19,0,0.55,1.64,3.28,1.09,0,0,0,0,0,0.55,0,0
