stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0
3Month,1.92,0.32,0.96,0.32,1.28,0.32,0.32,0.32,0,0.32,0.32,0.32,0,38.39,0.32,11.2,1.28
22Month,0,0,1.64,0,3.83,0,0,0,0.55,0,0,0,0.55,2.73,0,0,0
