stage,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Neural_progenitor_cell
24hpf,0,0,0,0,12.26
72hpf,1.07,1.07,0,1.07,1.07
21Day,0,0,1.34,0,2.68
