stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,4.09,0,0,0,0,0,0,0,196.15,0,4.09,65.38,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,1.07,0,0,0,0,0,0,0,39.58,6.42,8.56,10.7,0,1.07,0,0,1.07,1.07,0,0
21Day,22.76,0,0,8.03,0,0,0,0,0,4.02,1.34,5.35,10.71,2.68,5.35,0,0,1.34,0,0,0,0,0
3Month,11.84,0.96,0,0.64,0,1.92,0.32,0.64,0.32,0.32,0,2.24,0.32,0.32,0,0,0,0.32,1.28,0,0,0.32,0.32
22Month,10.93,6.56,0.55,0,1.09,7.65,0.55,1.64,0,0,0.55,2.19,0,0,0,0.55,0,0,3.83,1.64,0,0,0
