stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,2.68,0,0,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,2.68
3Month,1.28,0.64,5.44,0.64,0.32,0.32,1.28,0,41.27,0.96,0.64,3.52,0.32,0.64,2.24,1.28,0.32,0,0.64,0.32,0,0,0,0,0.96,1.92,0,0.64,0.32,1.28
22Month,0.55,2.19,1.64,0,0,0,1.64,0.55,54.67,1.64,0.55,2.73,0,0,2.19,2.19,0,0.55,0,0.55,0,0.55,0.55,0,0,1.09,0,1.09,0,0.55
