stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,2.14,0,1.07,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,1.34,0,0,6.69,1.34,5.35,0,0,0,1.34,0,0,1.34
3Month,0,0,0.32,1.92,0,0,0,0.96,0.64,0.32,0.64,0,0.64,0,0.32,0,0,0,0,0,0.64,1.92
22Month,0,2.19,0.55,4.92,0,0.55,1.09,4.92,13.12,0,18.04,0.55,2.19,1.64,2.73,0.55,0,0,0,0.55,0,0
