stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,2.14,0,1.07,3.21,1.07,0,0,0,0,0,1.07,0,2.14,0,0,0,0,5.35,0,0,0,0,0,0,12.84,24.61,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,2.68,2.68,4.02,0,0,0,1.34,0,0,2.68,21.42,0,0,0
3Month,0,0,1.6,0,0,0.32,0.32,0,0.96,0,0.32,0,1.6,0.32,0,0.64,0.32,0,0.32,0.64,0,0,0,0.32,0.96,0.32,0,0.64,0.64
22Month,0.55,1.09,1.09,0,0,0,0.55,3.28,13.12,0,0,1.09,7.11,0.55,0.55,0,0,0.55,0.55,7.65,0.55,0,0.55,5.47,2.73,0.55,0.55,0,0
