stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,2.14,0,0,0,0,0,1.07,2.14,1.07,7.49,0,0,0,85.58,2.14,0,2.14,7.49,0,0,1.07,0,2.14,0
21Day,4.02,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,4.02,22.76,1.34,2.68,1.34,0,1.34,0,1.34,2.68,0,1.34
3Month,0,0,1.28,0,0,0,6.4,0.32,1.28,0,0.96,0.32,1.92,1.28,0,0,0.32,0,0,0,1.28,1.28,0.32,0.32,0,0,1.92
22Month,0.55,1.09,1.64,0,2.19,1.09,16.95,0,1.09,0,0,1.09,1.09,0,0.55,1.09,0.55,0,0,0,0.55,0,0,0.55,0,0,0
