stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,4.09,0,16.35,0,0
72hpf,0,0,0,2.14,0,0,0,0,0
21Day,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0.32,0,0,0,0,0,0,5.76,4.48
