stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,4.09,0,0,0,0,8.17,0,4.09,0,0,0,8.17,204.32,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,13.91,0,1.07,0,0,0,32.09,8.56,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,5.35,1.34,0,0,0,0,1.34,1.34,0,0
3Month,0,0,0.32,12.16,0,0.64,1.28,0,118.7,0.32,10.24,0,8,0.32,3.2,0.64,0.32,0.32,13.12,0,0.64,0.96,2.24,0.32,0,0,0.96,0.32
22Month,0.55,0.55,0,2.73,0,0.55,0,0,148.14,1.64,4.37,0,0.55,1.09,5.47,0,4.92,0,0,0,1.09,2.19,0.55,0.55,0,0,0,0
