stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,20.43,28.6,0,65.38,4.09,0,0,0,0,0,4.09,0,0,0,0,0,12.26,12.26,866.32,0,0,0,4.09,339.17,4895.51,0,449.5,0,0,0,0,0,0,0,0
72hpf,62.05,7.49,0,13.91,3.21,48.14,0,0,1.07,0,0,0,0,1.07,0,6.42,72.75,9.63,157.26,0,3.21,2.14,0,3098.12,4122.98,2.14,425.78,1.07,0,86.65,5.35,3.21,8.56,0,0
21Day,5.35,2.68,0,13.39,0,17.4,4.02,0,0,0,0,2.68,1.34,4.02,1.34,1.34,6.69,1.34,37.48,0,0,0,0,331.96,824.54,0,18.74,25.43,0,12.05,4.02,9.37,2.68,0,0
3Month,0,1.28,0,2.56,0.32,0,0,0.32,0.96,0,0,4.16,0.32,0,2.88,0.64,0.96,0,0.96,0.32,0,1.92,0.64,1.28,5.76,0,0,0.32,1.28,0,0,0,0,0,0.32
22Month,0,1.64,1.09,2.19,0,0,1.09,0.55,0.55,1.09,0,26.24,0,0.55,1.64,0,0,1.09,1.64,0,0,1.09,0,2.19,4.37,1.09,0.55,0,0.55,0,0,0,0,1.09,0
