stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,6.42,8.56,0,1.07,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,1.34,0,0,1.34,1.34,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.64,0.32,10.24,0,0.32,1.28,1.28,0.64,0,1.28,10.88,0.96,0.96,0.32,0,0.32,0,0.32,1.6,0,0.64,0.96,0.64
22Month,0,0,0.55,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
