stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,8.56,0,1.07,0,0,1.07,0,25.67,1.07,0,0,1.07,0,2.14,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,1.34,0,0,1.34,0,5.35,0,0,0,0,16.06,1.34,1.34,4.02,0,0,2.68,0,0,1.34
3Month,0.32,9.28,0,0.32,0.96,1.92,0,12.16,0.96,2.88,2.88,0.32,2.24,2.88,3.52,0.96,0,0.96,0.96,1.28,0,2.56,0.32,0.96,9.28,0.32,0.96,2.24,4.16
22Month,1.09,7.11,1.09,0,0.55,3.83,1.09,52.48,1.09,1.09,3.28,0,0,1.64,5.47,0,0.55,0,0,0.55,0,1.64,0,0,5.47,0.55,0.55,0,3.28
