stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,0,4.02,2.68,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.96,1.28,0.32,7.36,20.16,0.96,0.32,0.32,1.6,0.32,0.32,1.92,0.32,0,0.32,0.32,0,0,0.64,0,0.32,0
22Month,0.55,0,3.83,3.28,1.09,7.11,167.82,69.43,1.09,0,7.11,0,0,24.6,3.28,1.09,1.09,0.55,0.55,0.55,0,0.55,0,0.55
