stage,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Osteoblast,T_cell
72hpf,0,0,0,0,2.14,2.14,0
21Day,2.68,1.34,0,2.68,1.34,0,1.34
3Month,0,0,0.32,0,0,0,0.64
