stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,241.1,0,0,0,0,0,16.35,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,20.33,0,0,0,0,1.07,2.14,0,0,0,0,0,0
3Month,0,13.44,0.96,0,0,0,3.2,0.96,0.32,0.64,0.64,1.28,0.64,0,0,0.32,0.32,0.64,18.56,1.6,0.64,0.96
22Month,34.44,2.73,0,0,4.92,1.09,4.92,0.55,2.73,0,2.19,0.55,0,0.55,0.55,0,0.55,0,18.59,0,0,0
