stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,24.52,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,2.14,3.21,0,0,0,0,0,0,4.28,3.21,1.07,6.42,0,1.07,593.73,34.23,1.07,2.14,5.35,0,0,0,0,0,0,0,0
21Day,2.68,1.34,8.03,10.71,0,0,1.34,1.34,6.69,1.34,1.34,2.68,0,20.08,1.34,0,321.25,21.42,4.02,4.02,6.69,9.37,0,2.68,1.34,1.34,2.68,0,1.34
3Month,0,0,0.64,0,0.32,0,1.6,0,0,1.28,0,0.64,0.32,0.32,0.32,0,0.32,0,0,0,0,0,1.92,0,0,0,0,0.96,0.64
22Month,0,0,0,0,0,0.55,14.76,1.09,0.55,0.55,0,0,0.55,2.19,0.55,0,0.55,0,0,0,0,0,0.55,0.55,0,0,0.55,0,0
