stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Osteoblast,T_cell
72hpf,0,0,0,0,1.07,1.07,0
21Day,1.34,0,0,0,1.34,0,1.34
22Month,0,0.55,2.73,1.09,0,0,0
