stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,2.68,0,0,0,26.77,0,0,0,0,0,0,2.68
3Month,0,0.96,0.32,0.96,0,0,5.44,0.64,0,5.12,0.32,0.64,5.12,0,0,1.6,0,0.32,0,2.88
22Month,0.55,1.09,0.55,2.19,0.55,0.55,62.87,0,0,9.84,0,0,2.19,0.55,1.09,0.55,0.55,0.55,0.55,1.09
