stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,1.07,0,0
21Day,0,0,0,0,1.34,0,0
3Month,0.32,0,0,0.32,0,0,0.32
22Month,0.55,0.55,1.09,2.73,0,0,0.55
