stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,36.78,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,6.42,8.56,0,0,1.07,0,0,0,0
21Day,1.34,0,4.02,5.35,0,6.69,0,1.34,0,1.34,0,0,0,0,0,1.34,5.35,0,0,4.02,2.68,0,0,0,0,0,0,1.34
3Month,0,0.32,3.2,0,0.32,0,1.28,0,0,5.12,0.96,0,0.96,0.32,0.64,1.92,1.28,0.64,0.96,0,0,0.32,3.84,0,0.32,0.96,0.96,1.28
22Month,0,0,0.55,0,0,0,0,0,0.55,6.56,0.55,0.55,0.55,0,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0.55
