stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,4.28,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,96.28,10.7,0,1.07,2.14,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,38.82,2.68,0,1.34,0,1.34,0,1.34,4.02,0,0,0
3Month,0.32,0.32,6.08,0.64,0,3.84,0.96,0,12.8,1.92,0.32,2.56,0.64,1.6,0.64,1.6,0.32,0,2.56,3.2,0,2.88,1.28,0,1.6,23.68,0,0,0.32,157.74,0.96
22Month,1.09,0,1.09,0,0,1.64,1.09,2.19,59.04,1.09,0.55,1.09,0,0,1.64,1.09,0,0.55,1.09,1.64,0,1.64,0.55,0,0.55,20.23,2.19,0.55,0,1.64,0
